"category","phrase"
"Respectful_Intervention","เตือนเพื่อนถ้าเขาไม่ชอบ"
"Ambiguous","ขำตามแล้วบอกให้เพื่อนหยุด"
"Respectful_Intervention","ห้ามเพื่อนไม่ให้ทำ"
"Active_Disrespect","หัวเราะด้วย"
"Ambiguous","รอเข้ามาคุยด้วยอาจจะดีกว่า"
"Respectful_Intervention","เตือนเพื่อนนิดๆ หน่อยๆ หรือไม่แสดงอารมณ์เหยียดหยาม"
"Compassionate_Expression","พยายามช่วยปลอบ"
"Non-participation_in_Mockery","ไม่ได้ไปเหยียดหยาม"
"Passive_Disregard","ไม่เข้าไปยุ่ง"
"Passive_Disregard","ไปคุยกับเพื่อนที่ล้อเรียน"
"Ambiguous","อย่าเพื่อน"
"Ambiguous","จะดูก่อนว่าเพื่อนคนนั้นนิสัยดีไหม"
"Ambiguous","ถ้านิสัยดีจะช่วย"
"Ambiguous","ถ้านิสัยไม่ดีก็จะไม่ช่วย"
"Active_Disrespect","จะทำด้วย"
"Respectful_Intervention","จะบอกว่านั่นไม่ใช่รูปของเพื่อนคนนั้น"
"Passive_Disregard","ปล่อยวาง"
"Non-participation_in_Mockery","ไม่เข้าร่วมไปล้อ"
"Passive_Disregard","ไม่ไปยุ่งหรือห้าม"
"Passive_Disregard","เพราะเดี๋ยวเราจะโดนเอง"
"Ambiguous","บอกว่าอย่าไปยุ่งกับ iPad เพื่อนเลย"
"Respectful_Intervention","พยายามเตือนเพื่อนว่าอย่าทำ"
"Respectful_Intervention","บอกเพื่อนว่าอย่าล้อมันไม่ดี"
"Active_Disrespect","ถ้าชอบก็เงียบ ถ้าไม่ก็ฮ่า"
"Empathy","ให้กำลังใจเพื่อนใหม่"
"Compassionate_Expression","ชวนเพื่อนคุยเพื่อปรับความเข้าใจ"
"Empathy","บอกว่าถ้าเกิดกับตัวเองตัวเองก็คงไม่ชอบ"
"Respectful_Intervention","รีบลบก่อนที่รูปจะหลุด"
"Passive_Disregard","อยู่เฉยๆ ให้คนเค้าล้อไป"
"Ambiguous","ถ้ามากเกินไปเราสามารถใช้กลวิธีอื่นได้"
"Compassionate_Expression","ปลอบใจ"
"Ambiguous","เพื่อนเขาน่าจะตั้งรหัสไว้นะครับ"
"Non-participation_in_Mockery","ไม่เข้าไปร่วมล้อ"
"Compassionate_Expression","เข้าไปคุยกับนักเรียนใหม่ด้วยความเข้าใจ"
"Empathy","บอกว่าถ้าเกิดขึ้นกับตัวเองแล้วตัวเองไม่ชอบจะทำยังไง"
"Passive_Disregard","ไม่สน"
"Passive_Disregard","ปล่อยวาง"
"Respectful_Intervention","บอกให้คนกลุ่มนั้นหยุด"
"Respectful_Intervention","ยกตัวอย่างถ้าใครไปแคปข้อความไม่อยากให้คนอื่นดูจะรู้สึกยังไง"
"Respectful_Intervention","บอกเรื่องใจเขาใจเราไม่ชอบก็อย่าไปทำกับคนอื่น"
"Respectful_Intervention","อย่าเบียดเบียนคนอื่น"
"Respectful_Intervention","ตักเตือนเพื่อนที่ล้อเลียน"
"Compassionate_Expression","ช่วยเพื่อนอีกคน"
"Respectful_Intervention","พยายามห้ามเพื่อน"
"Compassionate_Expression","บอกว่าเมื่อเขาเข้ามาโรงเรียนแล้วอาจจะไม่เหมือนในรูปก็ได้"
"Respectful_Intervention","ห้ามเพื่อนที่ล้อ"
"Respectful_Intervention","บอกว่าการกระทำแบบนี้มันผิด"
"Non-participation_in_Mockery","ถ้าห้ามไม่ได้จะไปเป็นเพื่อนกับเพื่อนใหม่"
"Compassionate_Expression","ช่วยเพื่อนใหม่ให้ได้มากที่สุด"
"Ambiguous","ปล่อยวาง"
"Ambiguous","ระเบิด"
"Respectful_Intervention","ปิดไอแพดให้เพื่อนหยุดล้อภาพ"
"Passive_Disregard","จะไม่ยุ่งอะไรทั้งนั้น"
"Compassionate_Expression","รอจนเพื่อนปรับตัวได้แล้วค่อยไปคุยด้วย"
"Respectful_Intervention","บอกเพื่อนว่าไม่ควรส่งรูปให้คนอื่น"
"Respectful_Intervention","บอกให้ลบรูปนั้นออก"
"Respectful_Intervention","ยังเกลี้ยกล่อมให้ทำตามเรา"
"Respectful_Intervention","เข้าไปบอกว่าอย่าไปแกล้งเขา"
"Passive_Disregard","ปล่อยไป"
"Passive_Disregard","อยู่เฉยก่อน"
"Respectful_Intervention","เข้าไปห้ามเมื่อเริ่มรุนแรง"
"Respectful_Intervention","เข้าไปห้าม ว่าอย่าไปยุ่งกับของส่วนตัวของคนอื่น"
"Empathy","ทักลอยส่วนตัวไปแล้วปลอบเพื่อน"
"Passive_Disregard","ไม่เข้าไปห้ามในกลุ่มเพราะกลัวโดนเอง"
"Passive_Disregard","ไม่ยุ่งเรื่องคนอื่น"
"Ambiguous","ไม่แน่ใจว่าเพื่อนรู้รหัสได้อย่างไร"
"Respectful_Intervention","เตือนเพื่อนหากเห็นว่าพฤติกรรมเลยเถิด"
"Passive_Disregard","ปล่อยแล้วออกจากตรงนั้นไม่ยุ่ง"
"Respectful_Intervention","บอกให้พอ, หยุด และช่วยเข้าไปห้าม"
"Passive_Disregard","ไม่เกี่ยว"
"Respectful_Intervention","บอกเพื่อนว่าอย่าทำ"
"Passive_Disregard","นั่งนิ่งๆ"
"Ambiguous","ก็เป็นเพื่อนกับเขา"
"Empathy","ไปถามว่าโอเคไหม"
"Respectful_Intervention","ถ้าไม่โอเคก็ไปบอกครู"
"Respectful_Intervention","เดินไปบอกครู"
"Respectful_Intervention","เดินไปบอกว่าอย่าทำแบบนี้นะ"
"Passive_Disregard","อยู่นิ่งๆ เพราะทำอะไรไม่ได้"
"Respectful_Intervention","บอกเพื่อนไม่น่าล้อ"
"Non-participation_in_Mockery","จะไม่เข้าร่วมล้อเลียน"
"Respectful_Intervention","ให้เพื่อนหยุด"
"Respectful_Intervention","บอกเพื่อนว่าอย่าล้อเขา"
"Respectful_Intervention","ถ้าล้ออีกจะบอกครู"
"Active_Disrespect","แล้วทำไมก็เขาอยาก"
"Passive_Disregard","นั่งเฉย เพราะกลัวโดนด่า"
"Empathy","เคยเป็นแบบนั้นมาก่อน"
"Empathy","เราไม่ควรไปเหยียบเขา"
"Passive_Disregard","ให้เพื่อนทำใจ"
"Respectful_Intervention","ค่อยๆ บอกเพื่อนว่าอย่าไปหัวเราะของเค้า เราต้องมีมารยาท"
"Aggressive_Retaliation","ปิดภาพ แล้วเป็ดภาพหลุดของคนที่หัวเราะแทน"
"Ambiguous","บอกครู"
"Ambiguous","อย่าให้ครั้งที่ 2"
"Respectful_Intervention","เตือนเพื่อน"
"Ambiguous","บอกครู"
"Passive_Disregard","ไม่เข้าไปยุ่ง"
"Ambiguous","บอกเพื่อนไปบอกครูเพราะไม่อยากมีปัญหา"
"Passive_Disregard","อยู่เฉยๆเพราะกลัวถูกรังแก"
"Empathy","ช่วยปลอบเพื่อน"
"Respectful_Intervention","บอกให้อย่าขำและลองคิดดูว่าถ้าเป็นนายจะเป็นยังไง"
"Ambiguous","แจ้งครู"
"Respectful_Intervention","ไปห้ามเพื่อน"
"Respectful_Intervention","บอกว่าอย่าแกล้งกันโต ๆ กันแล้ว"
"Passive_Disregard","ไม่ว่าเพื่อน"
"Respectful_Intervention","พยายามเตือนเพื่อนที่ล้อเลียนภาพของเพื่อนใหม่"
"Ambiguous","รูปรำทรงเอที่แท้จริง"
"Respectful_Intervention","บอกเขาว่าไม่ควรทำ แล้วไปบอกครู"
"Non-participation_in_Mockery","บล็อก"
"Non-participation_in_Mockery","ไม่รบกวนภาพของผู้อื่นเพราะไม่ใช่ภาพของตน"
"Passive_Disregard","ไม่เข้าไปยุ่ง"
"Empathy","ไปปลอบเพื่อน"
"Aggressive_Retaliation","ดึงไอแพดของเด็กใหม่มา"
"Respectful_Intervention","ไปบอกครู"
"Respectful_Intervention","บอกครู"
"Respectful_Intervention","บอกครู"
"Respectful_Intervention","บอกเพื่อนให้หยุด"
"Ambiguous","อย่านะหลุดแกล้ง"
"Compassionate_Expression","ทำความเข้าใจกับเพื่อนคนนั้น"
"Compassionate_Expression","พูดคุยกันจนเข้าใจกันและกัน"
"Non-participation_in_Mockery","ไม่ล้อเลียน ไม่บูลี่สิ่งส่วนตัวของเพื่อน"
"Respectful_Intervention","เตือนเพื่อนที่ทำด้วย"
"Compassionate_Expression","เอาไอแพดไว้ที่เดิมและให้ทุกคนออกจากไอแพด"
"Respectful_Intervention","เตือนเพื่อนคนที่เหยียดหยาม"
"Empathy","เราก็เคยโดนเหยียด"
"Respectful_Intervention","บอกให้คนทำเลิกทำ"
"Ambiguous","Help him"
"Empathy","สงสารเขาเขาก็เสียใจ"
"Passive_Disregard","อยู่นิ่งๆ ไม่เข้าไปยุ่ง"
"Non-participation_in_Mockery","ไม่เข้าไปร่วมบทสนทนาดังกล่าว"
"Respectful_Intervention","ห้ามเพื่อนๆว่าทำในสิ่งที่ผิดและตักเตือนเขา"
"Compassionate_Expression","ปลอบเพื่อนที่ถูกบูลลี่"
"Respectful_Intervention","บอกเพื่อนว่าอย่าล้อ"
"Respectful_Intervention","บอกเพื่อนไม่ไปหัวเราะคนอื่น"
"Non-participation_in_Mockery","ไม่คุยกับเพื่อน"
"Respectful_Intervention","ไปบอกครู"
"Compassionate_Expression","เข้าไปปลอบใจเขา ทำให้เขารู้สึกสบายใจ"
"Compassionate_Expression","บอกเพื่อนว่า วันหนึ่งต้องปรับตัวได้นะ เป็นกำลังใจ"
"Respectful_Intervention","ห้ามเพื่อน"
"Aggressive_Retaliation","ชั่งหัวพวกมันและไปตอ"
"Passive_Disregard","ทำเป็นไม่รู้เรื่อง"
"Passive_Disregard","ไม่ต้องยุ่งเรื่องนั้น"
"Passive_Disregard","เดี๋ยวเขาก็ลืม"
"Respectful_Intervention","บอกเพื่อนไม่น่าล้อเพื่อน"
"Respectful_Intervention","บอกว่าอย่าด่าเพื่อน"
"Respectful_Intervention","เข้าไปห้ามเพื่อน"
"Respectful_Intervention","เตือนเพื่อน"
"Respectful_Intervention","แจ้งครูถ้าเพื่อนทำอีก"
"Respectful_Intervention","ปรับความเข้าใจกับเพื่อน"
"Respectful_Intervention","บอกเพื่อนให้หยุด"
"Respectful_Intervention","บอกเพื่อนที่ถูกล้อให้ไปบอกครู"
"Non-participation_in_Mockery","ไม่ไปล้อเลียนหรือบูลลี่"
"Non-participation_in_Mockery","ไม่เข้าร่วมล้อเลียนเพื่อน"
"Compassionate_Expression","บอกเพื่อนที่โดนล้อ"
"Respectful_Intervention","บอกเพื่อนว่าพอเถอะ"
"Passive_Disregard","ไม่แสดงออก"
"Respectful_Intervention","บอกเพื่อนในกลุ่มว่าอย่าไปล้อ"
"Aggressive_Retaliation","เอาปากกาแทงคนนั้น"
"Non-participation_in_Mockery","ไม่แชร์ภาพนั้น"
"Respectful_Intervention","ไปบอกครู"
"Empathy","ถ้าเราลืมแล้วมีคนมาทำแบบนี้กับเราเราจะรู้สึกอย่างไร"
"Respectful_Intervention","ปรับความเข้าใจกัน"
"Respectful_Intervention","ขอโทษเพื่อนที่เปิด iPad โดยไม่ได้บอกก่อน"
"Ambiguous","ถึงอยากทำแต่ทำอะไรไม่ได้"
"Passive_Disregard","รีบหนีไปให้เร็วที่สุด"
"Respectful_Intervention","บอกให้ทุกคนอย่าหัวเราะเพื่อน"
"Respectful_Intervention","บอกพวกเขาว่า ‘ลบรูปเถอะ’"
"Empathy","เขาพึ่งย้ายเข้ามาเอง"
"Respectful_Intervention","เตือนเพื่อนว่าไม่ดีอย่าทำอีก"
"Non-participation_in_Mockery","พยายามลบรูปภาพให้เร็วที่สุด"
"Empathy","If someone laughs at you like that how will you feel"
"Respectful_Intervention","ไปห้ามเพื่อนคนอื่นไม่ให้เหยียดหยาม"
"Respectful_Intervention","บอกครู"
"Respectful_Intervention","บอกเพื่อนทุกคนว่าอย่าไปล้อคนนั้น"
"Compassionate_Expression","บอกเพื่อนที่หัวเราะและแชร์รูปหยุดทำแบบนั้น"
"Compassionate_Expression","บอกเพื่อนใหม่ว่าไม่ต้องกังวล"
"Empathy","บอกให้คิดถึงความรู้สึกของเพื่อนถ้าเป็นตัวเองโดนแบบนี้"
"Respectful_Intervention","บอกครู"
"Respectful_Intervention","บอกให้ลบรูปและขอโทษ"
"Respectful_Intervention","คุยกันด้วยเหตุผลว่าทำไมถึง bully"
"Respectful_Intervention","ปรับความเข้าใจคุยกันดีๆ"
"Passive_Disregard","อยู่เฉยเพื่อไม่ตกเป็นเป้าซะเอง"
"Respectful_Intervention","บอกเพื่อนว่าอย่าล้อจนเพื่อนไม่มีความสุข"
"Respectful_Intervention","บอกเพื่อนว่ามันไม่ดี"
"Passive_Disregard","นิ่งๆไม่พูดอะไร"
"Respectful_Intervention","พยายามห้ามเพื่อน"
"Empathy","ดูด้วย"
"Respectful_Intervention","แนะนำเพื่อนคนอื่นไม่ให้ล้อเลียน"
"Ambiguous","ยิ้มแล้วพยักหน้า"
"Respectful_Intervention","ห้ามและไปช่วยเหลือเพื่อนใหม่"
"Compassionate_Expression","พูดอย่างประนีประนอมเพื่อให้ทุกคนเข้าใจความผิดพลาดหรือไม่ตั้งใจ"
"Compassionate_Expression","พูดให้เข้าใจกัน"
"Respectful_Intervention","พอเถอะเพื่อนอย่าทำเลยเดี๋ยวข้อมูลสำคัญของเพื่อนหลุด"
"Active_Disrespect","เพื่อนเหี้ยๆไม่ต้องคบครับ"
"Passive_Disregard","ไม่เข้าไปยุ่ง"
"Respectful_Intervention","เข้าไปช่วยห้ามและบอกอย่าล้อเพราะเป็นเพื่อนใหม่"
"Passive_Disregard","ไม่สนใจ"
"Non-participation_in_Mockery","ทำหน้างงๆ"
"Compassionate_Expression","ถามว่าขำทำไม"
"Passive_Disregard","หลีกเลี่ยง"
"Passive_Disregard","เปลี่ยนประเด็น"
"Compassionate_Expression","คุยให้ชัดว่าไม่ชอบ"
"Respectful_Intervention","เข้าไปตักเตือนให้เลิกทำ"
"Non-participation_in_Mockery","จะไม่ให้แคปและส่งต่อคนอื่น"
"Compassionate_Expression","อาจจะมีการขำนิดหน่อย"
"Respectful_Intervention","ค่อยๆบอกเพื่อนและตักเตือนเพื่อนว่าอะไรเป็นสิ่งที่ไม่ควรทำ"
"Passive_Disregard","ไม่ไปยุ่งด้วย"
"Respectful_Intervention","พยายามห้ามอย่างเต็มที่"
"Compassionate_Expression","ไปปลอบใจเพื่อนคนนั้น"
"Passive_Disregard","ไม่ยุ่งเกี่ยวกับเรื่อง"
"Respectful_Intervention","พยายามเตือน"
"Passive_Disregard","นิ่ง ไม่สนใจ"
"Compassionate_Expression","ช่วยเหลือและปกป้อง"
"Respectful_Intervention","เตือนเพื่อนว่าไม่ให้ล้อเลียน"
"Compassionate_Expression","เข้าไปช่วยปลอบ"
"Passive_Disregard","อยู่เฉยๆ"
"Respectful_Intervention","พยายามห้าม"
"Compassionate_Expression","แนะนำเพื่อนใหม่ให้"
"Respectful_Intervention","พยายามบอกว่าอย่าล้อเพื่อน"
"Respectful_Intervention","ไปพูดคุยกับสองฝ่าย"
"Compassionate_Expression","ปรับความเอาใจกัน"
"Respectful_Intervention","ห้ามไม่ให้ทำตะโกนดังๆ"
"Respectful_Intervention","ห้ามการกระทำนั้น"
"Passive_Disregard","รับรู้ไว้"
"Respectful_Intervention","ตักเตือนว่าอย่าไปทำ"
"Respectful_Intervention","บอกให้ลบรูปภาพ"
"Respectful_Intervention","นำไอแพดไปส่งคืนเพื่อน"
"Respectful_Intervention","พูดตักเตือนว่าไม่ควรทำ"
"Respectful_Intervention","เข้าไปห้าม"
"Compassionate_Expression","ปลอบพอเป็นพิธีการให้กำลัง"
"Respectful_Intervention","บอกวิธีการแก้ปัญหา"
"Compassionate_Expression","ไปปลอบเพื่อน"
"Passive_Disregard","ไม่ต้องไปสนใจ"
"Respectful_Intervention","บอกห้ามเพื่อนที่ทำให้หยุด"
"Passive_Disregard","บอกเพื่อนว่าหย่าไปทำ"
"Non-participation_in_Mockery","ไม่เข้าร่วม"
"Passive_Disregard","อยู่เฉยไม่เข้าไปเพื่อให้ไม่มีปัญหา"
"Respectful_Intervention","ให้เพื่อนหยุดทำ"
"Empathy","ถ้าเป็นของตัวเองจะเป็นยังไง"
"Compassionate_Expression","ช่วยเหลือคนที่โดนรังแก"
"Respectful_Intervention","บอกเพื่อนที่หัวเราะว่าให้หยุดหัวเราะ"
"Compassionate_Expression","อย่าเก่งแต่กับเด็กใหม่"
"Respectful_Intervention","บอกให้เพื่อนอย่าไปยุ่งกับของส่วนตัวคนอื่น"
"Non-participation_in_Mockery","ไม่เข้าไปเหยียดหรือล้อเลียนเพื่อนใหม่"
"Passive_Disregard","เราอาจไม่สามารถบอกเพื่อนได้"
"Respectful_Intervention","เตือนและบอกให้หยุดแล้วลบรูปภาพ"
"Empathy","เพราะเป็นข้อมูลส่วนตัว"
"Passive_Disregard","ไม่เข้าไปยุ่ง"
"Respectful_Intervention","ถ้าโดนผลกระทบจะเข้าไปห้าม"
"Passive_Disregard","ไม่ควรยุ่งเรื่องส่วนตัว"
"Respectful_Intervention","ควรหยุดเพื่อน"
"Respectful_Intervention","พยายามห้ามแล้วบอกเพื่อนไม่ควรยุ่งกับของคนอื่น"
"Non-participation_in_Mockery","เข้าไปปกป้องเพื่อนใหม่"
"Empathy","ไม่มีใครควรถูกละเมิดความเป็นส่วนตัว"
"Non-participation_in_Mockery","ไม่เข้าร่วม"
"Respectful_Intervention","บอกเพื่อนให้ไม่ทำสิ่งโง่ๆ"
"Respectful_Intervention","ถ้าช้าแล้วบอกให้ลบภาพ"
"Aggressive_Retaliation","ถ้าเพื่อนไม่ลบต้องทำเองแบบหนักหน่วง"
"Empathy","ไม่ชอบคนเอาข้อมูลส่วนตัวคนอื่น"
"Non-participation_in_Mockery","ไม่เข้าร่วมหรือมีส่วนร่วมในการล้อเลียน"
"Respectful_Intervention","คอยเตือนเพื่อนให้หยุดล้อ"
"Respectful_Intervention","ห้ามเพื่อนและบอกว่าไม่ควร"
"Empathy","บอกเพื่อนใหม่ว่าไม่เป็นไร"
"Respectful_Intervention","บอกเพื่อนในกลุ่มอย่าล้อเขา"
"Respectful_Intervention","เตือนเพื่อนอย่าให้เลยขอบเขต"
"Respectful_Intervention","ห้ามเพื่อนและตักเตือน"
"Non-participation_in_Mockery","ไม่เข้าร่วม"
"Respectful_Intervention","เป็นการไม่ให้เกียรติข้อมูลส่วนบุคคล"
"Respectful_Intervention","เป็นสิ่งที่ไม่ควรที่จะทำ"
"Respectful_Intervention","อาจผิดกฏหมายบางข้อได้"
"Empathy","พยายามปกป้องเพื่อนคนนั้นไม่ให้รู้สึกแย่"
"Respectful_Intervention","บอกเพื่อนไปว่าอย่าไปยุ่งกับไอแพดของคนอื่น"
"Passive_Disregard","ไม่ไปอยู่ใกล้พวกที่ล้อเลียน"
"Respectful_Intervention","เข้าไปตักเตือนเพื่อนกลุ่มนั้น"
"Respectful_Intervention","ขอให้เพื่อนกลุ่มนั้นไม่ส่งเข้าไปในแชตคณะ"
"Respectful_Intervention","ไม่ขอไปยุ่งกับความเป็นส่วนตัวของเพื่อนคนนั้น"
"Ambiguous","คุยกันดี"
"Respectful_Intervention","จะบอกว่าอย่าไปยุ่งอะไรส่วนตัวของมัน"
"Respectful_Intervention","พื้นที่ส่วนตัวของใครของมัน"
"Respectful_Intervention","เข้าไปห้ามและแก้ปัญหาโดยการใช้เหตุผล"
"Aggressive_Retaliation","เป็นมึงๆก็อายเหมือนกัน"
"Ambiguous","เปิดรูปขอบคนที่เปิดล้อเลียนขึ้นมาเพื่อให้เขาได้เข้าใจด้วยตัวเอง"
"Non-participation_in_Mockery","ไม่ได้หัวเราะด้วยถ้าเป็นภาพที่ทำให้เกิดความอับอายหรือกระทบจิตใจผู้อื่น"
"Active_Disrespect","หัวเราะไปด้วยถ้าเป็นภาพที่ไม่ได้ทำให้เกิดความอับอาย"
"Respectful_Intervention","เข้าไปเตือนว่าข้อมูลเป็นข้อมูลส่วนตัว ไม่ควรเปิดดู"
"Respectful_Intervention","บอกให้พอและห้ามถ้าเราโดนผลกระทบ"
"Respectful_Intervention","ตักเตือนว่าเป็นการละเมิดสิทธิส่วนบุคคล"
"Ambiguous","พูดและแนะนำให้เพื่อนปรับตัวให้เข้ากับสังคมในโรงเรียน"
"Respectful_Intervention","ห้ามว่าอย่าทำเพราะจะทำให้เกิดปัญหา"
"Passive_Disregard","ไม่เข้าไปยุ่งเพราะไม่คิดว่าจะห้ามเพื่อนได้"
"Respectful_Intervention","เข้าไปเตือนเพื่อนที่หัวเราะและปลอบใจเพื่อนใหม่ที่โดนแกล้ง"
"Respectful_Intervention","ห้ามเพื่อน เตือนเพื่อน และไม่ส่งเสริมหรือสนับสนุนเพื่อน"
"Respectful_Intervention","ตักเตือนเพื่อนและห้ามเพื่อน พูดให้เพื่อนคิดและมีสติ"
"Respectful_Intervention","เข้าไปห้ามเพื่อน"
"Respectful_Intervention","ปรับความเข้าใจเพื่อไม่ให้เหตุการณ์บานปลาย"
"Respectful_Intervention","บอกให้เพื่อนกลุ่มนั้นเลิกทำ"
"Respectful_Intervention","ยกเลิกข้อความที่ส่งไปในคณะ"
"Empathy","ทำให้เพื่อนใหม่รู้สึกสบายใจ"
"Respectful_Intervention","บอกว่าทำแบบนี้ไม่ดีต่อเพื่อนคนนั้น"
"Empathy","เพื่อนใหม่อาจจะรู้สึกไม่ดีจนลาออกได้"
"Respectful_Intervention","บอกเพื่อนๆว่าพอแล้ว"
"Empathy","สงสารมัน"
"Respectful_Intervention","เบี่ยงเบนเพื่อนๆให้ออกมาจากสถานการณ์"
"Passive_Disregard","อยู่นิ่งๆอยู่เฉยๆไม่ต้องเข้าไปยุ่ง"
"Ambiguous","ต้องเข้วใจว่าเพื่อนคนนั้นโดนอะไร"
"Ambiguous","ไม่ทำอะไรกับเขา"
"Respectful_Intervention","พูดบอกเพื่อนว่าพอได้แล้ว"
"Respectful_Intervention","พูดเสียงดังขึ้นเรื่อยๆประมาณ 3 รอบ"
"Passive_Disregard","ถ้าไม่หยุดก็ปล่อย"
"Active_Disrespect","ขำขันมากๆครับ"
"Respectful_Intervention","บอกเพื่อนที่หัวเราะว่าอย่าล้อเลียนเพื่อน"
"Respectful_Intervention","บอกเพื่อนว่าสมมุติว่ามีคนมีรูปเราบ้างล่ะจะรู้สึกยังไง"
"Respectful_Intervention","เข้าไปห้าม"
"Ambiguous","ช่วย"
"Respectful_Intervention","บอกเขาว่าไม่ควรทำแบบนั้น"
"Respectful_Intervention","ไปคุยกับเขาและบอกอธิบายว่าไม่ควรส่ง"
"Respectful_Intervention","ถ้าเขายังทำก็บอกครู"
"Respectful_Intervention","ตักเตือน"
"Respectful_Intervention","เข้าไปบอกว่าอย่าล้อเพื่อน"
"Respectful_Intervention","เพื่อนจะอาย"
"Empathy","ปลอบใจเพื่อน"
"Respectful_Intervention","บอกว่าหยุดล้อได้คิดถึงใจเขาบ้าง"
"Non-participation_in_Mockery","ไม่หัวเราะด้วย"
"Passive_Disregard","ดูและเดินหนี"
"Respectful_Intervention","บอกเพื่อนให้หยุด"
"Respectful_Intervention","คนเราชอบอะไรไม่เหมือนกัน"
"Respectful_Intervention","ไม่ควรไปเปิดไอแพดคนอื่น"
"Ambiguous","ขอดูด้วย"
"Ambiguous","เข้าไปช่วย"
"Respectful_Intervention","บอกให้เพื่อนหยุด"
"Empathy","ถ้าเพื่อนคนนั้นรู้เรื่องก็เข้าไปปลอบ"
"Passive_Disregard","ไม่สนใจ"
"Respectful_Intervention","เตือนเพื่อนที่แกล้งเด็กใหม่"
"Respectful_Intervention","บอกเพื่อนว่าไม่ควรทำนะ"
"Passive_Disregard","ไม่เข้าไปยุ่ง"
"Respectful_Intervention","บอกเพื่อนว่าอย่าล้อเลียน"
"Non-participation_in_Mockery","ไม่ล้อเลียนเพื่อนใหม่"
"Respectful_Intervention","บอกว่าอย่าล้อ"
"Respectful_Intervention","ถ้าไม่หยุดก็บอกครู"
"Respectful_Intervention","เตือนบอกอย่าล้อเลียนเด็กใหม่"
"Respectful_Intervention","เข้าไปห้ามเพื่อน"
"Passive_Disregard","ไม่เข้าไปร่วมกลุ่ม"
"Passive_Disregard","ถ้าเราทำสิ่งที่ไม่ควรทำก็จะไม่มีเพื่อนคบ"
"Passive_Disregard","ไม่ต้องเข้าไปยุ่งด้วย"
"Non-participation_in_Mockery","ไม่ล้อเลียนเพื่อน"
"Passive_Disregard","ไม่ไปยุ่ง"
"Respectful_Intervention","ไปบอกครู"
"Respectful_Intervention","ไปห้ามเพื่อนคนที่ล้อ"
"Respectful_Intervention","เตือนเพื่อนที่แกล้งเพื่อนใหม่"
"Respectful_Intervention","บอกเพื่อนที่ล้อให้หยุดล้อ"
"Respectful_Intervention","บอกว่าไม่ต้องเข้าไปยุ่งกับของส่วนตัวเขา"
"Respectful_Intervention","เอาไอแพดไปคืนเพื่อน"
"Respectful_Intervention","ไปห้ามเพื่อน"
"Respectful_Intervention","บอกเพื่อนว่าอย่าล้อมันไม่ดี"
"Respectful_Intervention","ไปบอกคุณครู"
"Passive_Disregard","ไปบอกคุณครูประจำชั้นไม่ก็ครูแถวๆนั้น"
"Respectful_Intervention","ห้ามเพื่อนคนที่ล้อเลียน"
